SourceTitle,link,TargetTitle
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.annehelmond.nl/wordpress/wp-content/uploads/2007/04/319.pdf,"""The role of site features, user attributes, and information verification behaviors on the perceived credibility of web-based information."""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1177%2F1461444807075015,10.1177/1461444807075015
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016/j.chb.2012.06.016,http://dx.doi.org/10.1016/j.chb.2012.06.016
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.sciencedirect.com/science/article/pii/S0747563212001665,http://www.sciencedirect.com/science/article/pii/S0747563212001665
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.zdnet.com/are-social-media-silos-holding-back-business-results-7000017227/,"""Are social media silos holding back business"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2Fj.bushor.2009.09.003,10.1016/j.bushor.2009.09.003
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.lib.umich.edu/articles/details/FETCH-LOGICAL-c1141-77ca8b617088157d8525719159302e357cc9e8ca93e520729bdfdadbf588ffcd1,"""Effect of Electronic Media on Children"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://weanimate.co.uk/marketing-myths-on-twitter/,"""7 Marketing Myths About Twitter"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.huffingtonpost.com/eric-ehrmann/uruguay-prodded-to-end-ba_b_1144833.html,"""Eric Ehrmann: Uruguay Prodded by G-20 to End Bank Secrecy"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://kittur.org/files/Kittur_2008_CSCW_TrustWiki.pdf,"""Aniket Kittur, Bongowon Suh, Ed H. Chi (2008) Can you ever trust a wiki?: Impacting perceived trustworthiness in wikipedia"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://books.google.co.nz/books?id=bYJGna0AhdAC,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.huffingtonpost.com/jay-rosen/the-people-formerly-known_1_b_24113.html,"""The People Formerly Known as the Audience"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://link.springer.com/chapter/10.1007/978-94-009-1952-5_10#page-1,http://link.springer.com/chapter/10.1007/978-94-009-1952-5_10#page-1
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3752175/,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3752175/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.theatlantic.com/magazine/archive/2008/07/is-google-making-us-stupid/306868/,"""Nicholas Carr, ""Is Google Making Us Stupid?-What the Internet is doing to our brains,"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.newyorker.com/reporting/2010/10/04/101004fa_fact_gladwell,"""Malcolm Gladwell, ""Small Changes – Why the revolution will not be tweeted.,"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://muse.jhu.edu/login?auth=0&type=summary&url=/journals/dss/v056/56.4.morozov.html,"""Evgeny Morozov, Dissent, Vol 56, Number 4, Fall 2009, page 10-13"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1974080,"""Auer, Matthew R. ""The Policy Sciences of Social Media"". , , (4): 709–736"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.mortgagecalculatorx.ca/mac/c/6.805/student-papers/fall05-papers/facebook.pdf,"""Jones, Soltren, Facebook: Threats to Privacy, MIT 2005"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://socialmediaisbs.com/2013/06/26/the-revised-edition-chapter-five-of-social-media-is-bs/,"""Chapter 5: There Is Nothing New Under The Sun (Excerpt From Social Media Is Bullshit)"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.privacyrights.org/social-networking-privacy,"""Social Networking Privacy: How to be Safe, Secure, and Social – Privacy Rights Clearinghouse"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.demos.co.uk/publications/intelligence,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.privacyrights.org/fs/fs7-work.htm#socialmedia,"""Social Media Monitoring – Privacy Rights Clearinghouse"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.class.umn.edu/crimson/dependancies/multimedia/Facebook_in_Hiring_Ethical_Implications.pdf,"""Using Facebook to Assess Candidates During the Recruiting Process: Ethical Implications – Privacy Rights Clearinghouse"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.careerbuilder.com/share/aboutus/pressreleasesdetail.aspx?id=pr691&sd=4/18/2012&ed=4/18/2099,"""Thirty-seven percent of companies use social networks to research potential job candidates, according to new CareerBuilder Survey"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.slideshare.net/americanangel/social-media-and-employment-screening,"""Social Media and Employment Screening"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.americanbar.org/publications/international_law_news/2012/fall/social_media_workplace_employer_protections_versus_employee_privacy.html,http://www.americanbar.org/publications/international_law_news/2012/fall/social_media_workplace_employer_protections_versus_employee_privacy.html
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.privacyrights.org/workplace-privacy-and-employee-monitoring#socialmedia,https://www.privacyrights.org/workplace-privacy-and-employee-monitoring#socialmedia
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.splc.org/news/report_detail.asp?id=1692&edition=62,http://www.splc.org/news/report_detail.asp?id=1692&edition=62
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.ncsl.org/research/telecommunications-and-information-technology/employer-access-to-social-media-passwords-2013.aspx,http://www.ncsl.org/research/telecommunications-and-information-technology/employer-access-to-social-media-passwords-2013.aspx
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.mondaq.com/unitedstates/x/287040/Data+Protection+Privacy/Five+EmploymentRelated+Privacy+Issues+We+Are+Tracking+in+2014,http://www.mondaq.com/unitedstates/x/287040/Data+Protection+Privacy/Five+EmploymentRelated+Privacy+Issues+We+Are+Tracking+in+2014
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2Fj.chb.2012.05.001,10.1016/j.chb.2012.05.001
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1016%2FS0747-5632%2803%2900040-2,10.1016/S0747-5632(03)00040-2
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.srilankasource.com/index.php/sid/224972463,"""Use of Social Media as a Bullying Tool Subjects Many Sri Lankan Teens to Crippling Fear, Shame"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1001%2Farchpediatrics.2009.162,10.1001/archpediatrics.2009.162
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://dx.doi.org/10.1542%2Fpeds.2011-0054,10.1542/peds.2011-0054
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.rte.ie/news/special-reports/2013/0212/367408-social-media-addiction-recognised-as-official-condition/,http://www.rte.ie/news/special-reports/2013/0212/367408-social-media-addiction-recognised-as-official-condition/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.siliconrepublic.com/careers/item/32880-1-in-10-young-people-losing,[1]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.wrcbtv.com/story/23548618/facebook-flub-woman-gets-fired-over-post,[2]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.nydailynews.com/news/election-2012/woman-fired-racist-anti-obama-facebook-post-article-1.1199917,[3]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.news.com.au/finance/work/bank-worker-stephanie-bon-fired-after-criticising-lloyds-bank-bosss-6295-an-hour-salary/story-e6frfm9r-1226034503421,[4]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.huffingtonpost.com/2013/02/07/flight-attendant-fired-middle-finger-rehired_n_2638821.html,[5]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.cbc.ca/news/canada/montreal/depressed-woman-loses-benefits-over-facebook-photos-1.861843,[6]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://thenextweb.com/socialmedia/2012/03/23/facebook-says-it-may-launch-legal-action-against-employers-who-ask-for-user-passwords/,[7]
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.facebook.com/note.php?note_id=326598317390057,[8]
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.journalism.org/2014/10/21/section-2-social-media-political-news-and-ideology/,http://www.journalism.org/2014/10/21/section-2-social-media-political-news-and-ideology/
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.facebook.com/notes/facebook-data-science/politics-and-culture-on-facebook-in-the-2014-midterm-elections/10152598396348859,https://www.facebook.com/notes/facebook-data-science/politics-and-culture-on-facebook-in-the-2014-midterm-elections/10152598396348859
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.tandfonline.com/doi/abs/10.1080/13527266.2013.797778#.VGZ5PFPF868,http://www.tandfonline.com/doi/abs/10.1080/13527266.2013.797778#.VGZ5PFPF868
